time,money,total_asset,market_value,profit,profit_ratio
2014-12-03,13628.439899999978,1351845.8398999998,1338217.4,351845.8398999998,0.3518458398999998
2014-12-04,13628.439899999978,1439698.2799,1426069.84,439698.27989999996,0.4396982799
2014-12-05,13628.439899999978,1497926.0598999998,1484297.6199999999,497926.05989999976,0.4979260598999998
2014-12-08,13628.439899999978,1569433.8599,1555805.4200000002,569433.8599,0.5694338599000001
2014-12-09,13628.439899999978,1414159.7799,1400531.34,414159.77989999996,0.41415977989999997
2014-12-10,13628.439899999978,1463193.6999,1449565.26,463193.6998999999,0.46319369989999987
2014-12-11,13628.439899999978,1435612.1198999998,1421983.68,435612.1198999998,0.4356121198999998
2014-12-12,13628.439899999978,1437655.1999,1424026.76,437655.1998999999,0.4376551998999999
2014-12-15,13628.439899999978,1400879.7599,1387251.32,400879.75989999995,0.40087975989999997
2014-12-16,13628.439899999978,1483624.4999,1469996.06,483624.49989999994,0.48362449989999995
2014-12-17,13628.439899999978,1582713.8798999998,1569085.44,582713.8798999998,0.5827138798999998
2014-12-18,13628.439899999978,1534701.4999,1521073.06,534701.4998999999,0.5347014998999999
2014-12-19,13628.439899999978,1545938.4398999999,1532310.0,545938.4398999999,0.5459384398999999
2014-12-22,13628.439899999978,1580670.7998999998,1567042.3599999999,580670.7998999998,0.5806707998999997
2014-12-23,13628.439899999978,1520399.9398999999,1506771.5,520399.9398999999,0.5203999398999999
2014-12-24,13628.439899999978,1450935.2199,1437306.78,450935.2198999999,0.4509352198999999
2014-12-25,13628.439899999978,1514270.6999,1500642.26,514270.6998999999,0.5142706998999999
2014-12-26,13628.439899999978,1556153.8398999998,1542525.4,556153.8398999998,0.5561538398999998
2014-12-29,13628.439899999978,1537766.1198999998,1524137.68,537766.1198999998,0.5377661198999998
2014-12-30,13628.439899999978,1597015.4398999999,1583387.0,597015.4398999999,0.5970154398999998
2014-12-31,13628.439899999978,1631747.7998999998,1618119.3599999999,631747.7998999998,0.6317477998999997
2015-01-05,15.949899999977788,1650156.0498999998,1650140.0999999999,650156.0498999998,0.6501560498999998
2015-01-06,15.949899999977788,1625434.8498999998,1625418.9,625434.8498999998,0.6254348498999998
2015-01-07,15.949899999977788,1594533.3499,1594517.4000000001,594533.3499,0.5945333499000001
2015-01-08,15.949899999977788,1540970.7499,1540954.8,540970.7498999999,0.5409707498999999
2015-01-09,15.949899999977788,1553331.3498999998,1553315.4,553331.3498999998,0.5533313498999998
2015-01-12,15.949899999977788,1521399.7998999998,1521383.8499999999,521399.79989999975,0.5213997998999997
2015-01-13,15.949899999977788,1512129.3498999998,1512113.4,512129.3498999998,0.5121293498999998
2015-01-14,15.949899999977788,1525519.9999,1525504.05,525519.9998999999,0.5255199999
2015-01-15,15.949899999977788,1581142.6999,1581126.75,581142.6998999999,0.5811426998999999
2015-01-16,15.949899999977788,1583202.7998999998,1583186.8499999999,583202.7998999998,0.5832027998999998
2015-01-19,15.949899999977788,1424575.0998999998,1424559.15,424575.0998999998,0.4245750998999998
2015-01-20,15.949899999977788,1424575.0998999998,1424559.15,424575.0998999998,0.4245750998999998
2015-01-21,15.949899999977788,1485348.0499,1485332.1,485348.0499,0.48534804989999997
2015-01-22,15.949899999977788,1472987.4499,1472971.5,472987.4498999999,0.4729874498999999
2015-01-23,15.949899999977788,1483287.9499,1483272.0,483287.9498999999,0.4832879498999999
2015-01-26,15.949899999977788,1477107.6498999998,1477091.7,477107.64989999984,0.4771076498999998
2015-01-27,15.949899999977788,1441055.8998999998,1441039.95,441055.89989999984,0.4410558998999998
2015-01-28,15.949899999977788,1448266.2499,1448250.3,448266.24989999994,0.4482662498999999
2015-01-29,15.949899999977788,1431785.4499,1431769.5,431785.4498999999,0.4317854498999999
2015-01-30,15.949899999977788,1434875.5998999998,1434859.65,434875.5998999998,0.4348755998999998
2015-02-02,15.949899999977788,1403974.0999,1403958.1500000001,403974.09990000003,0.40397409990000005
2015-02-03,15.949899999977788,1436935.6999,1436919.75,436935.6998999999,0.43693569989999986
2015-02-04,15.949899999977788,1412214.4999,1412198.55,412214.49989999994,0.4122144998999999
2015-02-05,15.949899999977788,1420454.8998999998,1420438.95,420454.89989999984,0.42045489989999985
2015-02-06,15.949899999977788,1391613.4999,1391597.55,391613.49989999994,0.39161349989999994
2015-02-09,15.949899999977788,1392643.5498999998,1392627.5999999999,392643.54989999975,0.3926435498999998
2015-02-10,15.949899999977788,1418394.7998999998,1418378.8499999999,418394.79989999975,0.4183947998999997
2015-02-11,15.949899999977788,1414274.5999,1414258.6500000001,414274.59990000003,0.41427459990000004
2015-02-12,15.949899999977788,1427665.2499,1427649.3,427665.24989999994,0.42766524989999993
2015-02-13,15.949899999977788,1436935.6999,1436919.75,436935.6998999999,0.43693569989999986
2015-02-16,15.949899999977788,1433845.5499,1433829.6,433845.5499,0.43384554989999996
2015-02-17,15.949899999977788,1441055.8998999998,1441039.95,441055.89989999984,0.4410558998999998
2015-02-25,15.949899999977788,1421484.9499,1421469.0,421484.9498999999,0.4214849498999999
2015-02-26,15.949899999977788,1449296.2999,1449280.35,449296.2999,0.4492962999
2015-02-27,15.949899999977788,1441055.8998999998,1441039.95,441055.89989999984,0.4410558998999998
2015-03-02,15.949899999977788,1445176.0998999998,1445160.15,445176.0998999998,0.4451760998999998
2015-03-03,15.949899999977788,1400883.9499,1400868.0,400883.9498999999,0.40088394989999987
